Player ID,Turn Number,Coins,Total Cards,Total Landmarks,Dice Roll,Action,Purchase,Income
2,13,0,7,0,2,Rolled Dice,N/A,0
2,13,0,7,0,2,skip,N/A,0
1,4,0,2,0,2,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,14,3,7,0,7,Rolled Dice,N/A,6
2,14,0,8,0,7,purchase,images/10.png,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,15,0,8,0,2,Rolled Dice,N/A,0
2,15,0,8,0,2,skip,N/A,0
1,4,0,2,0,10,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,16,3,8,0,4,Rolled Dice,N/A,6
2,16,1,9,0,4,purchase,images/16.png,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,17,1,9,0,5,Rolled Dice,N/A,0
2,17,0,10,0,5,purchase,images/14.png,0
1,4,0,2,0,1,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,18,0,10,0,2,Rolled Dice,N/A,0
2,18,0,10,0,2,skip,N/A,0
1,4,0,2,0,8,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,19,0,10,0,3,Rolled Dice,N/A,0
2,19,0,10,0,3,skip,N/A,0
1,4,0,2,0,1,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,20,0,10,0,12,Rolled Dice,N/A,0
2,20,0,10,0,12,skip,N/A,0
1,4,0,2,0,4,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,21,3,10,0,4,Rolled Dice,N/A,6
2,21,1,11,0,4,purchase,images/16.png,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,22,1,11,0,5,Rolled Dice,N/A,0
2,22,0,12,0,5,purchase,images/5.png,0
1,4,0,2,0,5,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,23,0,12,0,1,Rolled Dice,N/A,0
2,23,0,12,0,1,skip,N/A,0
1,4,0,2,0,4,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,24,0,12,0,1,Rolled Dice,N/A,0
2,24,0,12,0,1,skip,N/A,0
1,4,0,2,0,3,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,25,0,12,0,2,Rolled Dice,N/A,0
2,25,0,12,0,2,skip,N/A,0
1,4,0,2,0,4,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,26,0,12,0,6,Rolled Dice,N/A,0
2,26,0,12,0,6,skip,N/A,0
1,4,0,2,0,9,Rolled Dice,N/A,NaN
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,27,0,12,0,1,Rolled Dice,N/A,0
2,27,0,12,0,1,skip,N/A,0
2,28,3,12,0,7,Rolled Dice,N/A,6
2,28,0,13,0,7,purchase,images/10.png,0
1,4,0,2,0,2,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,29,0,13,0,1,Rolled Dice,N/A,0
2,29,0,13,0,1,skip,N/A,0
2,30,0,13,0,6,Rolled Dice,N/A,0
2,30,0,13,0,6,skip,N/A,0
2,31,0,13,0,5,Rolled Dice,N/A,0
2,31,0,13,0,5,skip,N/A,0
2,32,0,13,0,6,Rolled Dice,N/A,0
2,32,0,13,0,6,skip,N/A,0
2,33,0,13,0,2,Rolled Dice,N/A,0
2,33,0,13,0,2,skip,N/A,0
2,34,0,13,0,8,Rolled Dice,N/A,0
2,34,0,13,0,8,skip,N/A,0
2,35,0,13,0,1,Rolled Dice,N/A,0
2,35,0,13,0,1,skip,N/A,0
2,36,0,13,0,5,Rolled Dice,N/A,0
2,36,0,13,0,5,skip,N/A,0
2,37,0,13,0,5,Rolled Dice,N/A,0
2,37,0,13,0,5,skip,N/A,0
2,38,3,13,0,7,Rolled Dice,N/A,6
2,38,1,14,0,7,purchase,images/4.png,0
1,4,0,2,0,7,Rolled Dice,N/A,3
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,39,23,14,0,10,Rolled Dice,N/A,NaN
2,39,11,14,1,N/A,purchase,images/25.png,0
2,39,11,14,1,10,skip,Bought Landmark: Amusement Park,0
2,40,14,14,1,9,Rolled Dice,N/A,NaN
2,40,13,15,1,9,purchase,images/12.png,0
1,4,0,2,0,3,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,41,36,15,1,10,Rolled Dice,N/A,NaN
2,41,32,16,1,10,purchase,images/15.png,0
1,4,0,2,0,4,Rolled Dice,N/A,2
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,42,34,16,1,6,Rolled Dice,N/A,0
2,42,33,17,1,6,purchase,images/1.png,0
1,4,0,2,0,3,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,43,33,17,1,6,Rolled Dice,N/A,0
2,43,32,18,1,6,purchase,images/12.png,0
1,4,0,2,0,6,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,44,33,18,1,2,Rolled Dice,N/A,2
2,44,32,19,1,2,purchase,images/1.png,0
1,4,0,2,0,1,Rolled Dice,N/A,2
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,45,36,19,1,1,Rolled Dice,N/A,4
2,45,33,20,1,1,purchase,images/19.png,0
1,4,0,2,0,4,Rolled Dice,N/A,2
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,46,37,20,1,2,Rolled Dice,N/A,4
2,46,36,21,1,2,purchase,images/9.png,0
1,4,0,2,0,10,Rolled Dice,N/A,3
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,47,66,21,1,10,Rolled Dice,N/A,NaN
2,47,64,22,1,10,purchase,images/13.png,0
1,4,0,2,0,6,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,48,67,22,1,9,Rolled Dice,N/A,NaN
2,48,66,23,1,9,purchase,images/7.png,0
1,4,0,2,0,2,Rolled Dice,N/A,2
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,49,68,23,1,5,Rolled Dice,N/A,0
2,49,66,24,1,5,purchase,images/8.png,0
1,4,0,2,0,10,Rolled Dice,N/A,3
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,50,73,24,1,2,Rolled Dice,N/A,8
2,50,72,25,1,2,purchase,images/5.png,0
1,4,0,2,0,6,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,51,74,25,1,3,Rolled Dice,N/A,4
2,51,72,26,1,3,purchase,images/4.png,0
1,4,0,2,0,9,Rolled Dice,N/A,NaN
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,52,72,26,1,8,Rolled Dice,N/A,0
2,52,56,26,2,N/A,purchase,images/22.png,0
2,52,56,26,2,8,purchase,images/22.png,0
1,4,0,2,0,5,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,53,58,26,2,1,Rolled Dice,N/A,4
2,53,46,26,3,N/A,purchase,images/21.png,0
2,53,46,26,3,1,skip,Bought Landmark: Radio Tower,0
2,54,46,26,3,N/A,WIN,Won by 3 Landmarks,0
1,1,3,1,0,N/A,purchase,images/13.png,0
1,1,3,1,0,N/A,Player 1 Turn End,N/A,0
2,1,5,0,0,N/A,Buying Only Turn,N/A,0
2,1,3,1,0,N/A,purchase,images/11.png,0
1,2,2,2,0,N/A,purchase,images/12.png,0
1,2,2,2,0,N/A,Player 1 Turn End,N/A,0
2,2,3,1,0,N/A,Buying Only Turn,N/A,0
2,2,2,2,0,N/A,purchase,images/9.png,0
1,3,1,3,0,N/A,purchase,images/3.png,0
1,3,1,3,0,N/A,Player 1 Turn End,N/A,0
2,3,2,2,0,N/A,Buying Only Turn,N/A,0
2,3,1,3,0,N/A,purchase,images/2.png,0
1,4,1,3,0,4,Rolled Dice,N/A,0
1,4,0,4,0,N/A,purchase,images/14.png,0
1,4,0,4,0,N/A,Player 1 Turn End,N/A,0
2,4,1,3,0,5,Rolled Dice,N/A,0
2,4,1,3,0,5,purchase,images/14.png,0
1,4,3,4,0,10,Rolled Dice,N/A,6
1,4,2,5,0,N/A,purchase,images/5.png,0
1,4,2,5,0,N/A,Player 1 Turn End,N/A,0
2,5,1,3,0,4,Rolled Dice,N/A,0
2,5,0,4,0,4,purchase,images/2.png,0
1,4,2,5,0,N/A,Player 1 Turn End,N/A,0
2,6,0,4,0,4,Rolled Dice,N/A,0
2,6,0,4,0,4,skip,N/A,0
2,7,0,4,0,11,Rolled Dice,N/A,0
2,7,0,4,0,11,skip,N/A,0
2,8,0,4,0,6,Rolled Dice,N/A,NaN
2,8,0,4,0,6,skip,N/A,0
2,9,0,4,0,5,Rolled Dice,N/A,0
2,9,0,4,0,5,skip,N/A,0
2,10,0,4,0,6,Rolled Dice,N/A,NaN
2,10,0,4,0,6,skip,N/A,0
2,11,0,4,0,1,Rolled Dice,N/A,0
2,11,0,4,0,1,skip,N/A,0
2,12,4,4,0,2,Rolled Dice,N/A,8
2,12,3,5,0,2,purchase,images/7.png,0
1,4,2,5,0,6,Rolled Dice,N/A,0
1,4,0,6,0,N/A,purchase,images/8.png,0
1,4,0,6,0,N/A,Player 1 Turn End,N/A,0
2,13,3,5,0,4,Rolled Dice,N/A,0
2,13,2,6,0,4,purchase,images/14.png,0
1,4,0,6,0,N/A,Player 1 Turn End,N/A,0
2,14,2,6,0,11,Rolled Dice,N/A,0
2,14,1,7,0,11,purchase,images/7.png,0
1,4,0,6,0,6,Rolled Dice,N/A,0
1,4,0,6,0,N/A,Player 1 Turn End,N/A,0
2,15,5,7,0,3,Rolled Dice,N/A,8
2,15,3,8,0,3,purchase,images/4.png,0
1,4,0,6,0,1,Rolled Dice,N/A,0
1,4,0,6,0,N/A,Player 1 Turn End,N/A,0
2,16,3,8,0,5,Rolled Dice,N/A,0
2,16,0,9,0,5,purchase,images/20.png,0
1,4,0,6,0,6,Rolled Dice,N/A,0
1,4,0,6,0,N/A,Player 1 Turn End,N/A,0
2,17,0,9,0,5,Rolled Dice,N/A,0
2,17,0,9,0,5,skip,N/A,0
2,18,0,9,0,1,Rolled Dice,N/A,0
2,18,0,9,0,1,skip,N/A,0
2,19,0,9,0,5,Rolled Dice,N/A,0
2,19,0,9,0,5,skip,N/A,0
2,20,4,9,0,3,Rolled Dice,N/A,8
2,20,3,10,0,3,purchase,images/2.png,0
1,4,0,6,0,7,Rolled Dice,N/A,3
1,4,0,6,0,N/A,Player 1 Turn End,N/A,0
2,21,6,10,0,1,Rolled Dice,N/A,0
2,21,2,11,0,1,purchase,images/15.png,0
1,4,0,6,0,5,Rolled Dice,N/A,0
1,4,0,6,0,N/A,Player 1 Turn End,N/A,0
2,22,2,11,0,5,Rolled Dice,N/A,0
2,22,1,12,0,5,purchase,images/9.png,0
1,4,0,6,0,6,Rolled Dice,N/A,0
1,4,0,6,0,N/A,Player 1 Turn End,N/A,0
2,23,4,12,0,7,Rolled Dice,N/A,6
2,23,0,13,0,7,purchase,images/18.png,0
1,4,0,6,0,5,Rolled Dice,N/A,0
1,4,0,6,0,N/A,Player 1 Turn End,N/A,0
2,24,6,13,0,6,Rolled Dice,N/A,NaN
2,24,4,14,0,6,purchase,images/16.png,0
1,4,0,6,0,11,Rolled Dice,N/A,6
1,4,0,6,0,N/A,Player 1 Turn End,N/A,0
2,25,14,14,0,3,Rolled Dice,N/A,8
2,25,2,14,1,N/A,purchase,images/25.png,0
2,25,2,14,1,3,skip,Bought Landmark: Amusement Park,0
2,26,8,14,1,11,Rolled Dice,N/A,NaN
2,26,5,15,1,11,purchase,images/17.png,0
1,4,3,6,0,4,Rolled Dice,N/A,8
1,4,2,7,0,N/A,purchase,images/12.png,0
1,4,2,7,0,N/A,Player 1 Turn End,N/A,0
2,27,11,15,1,8,Rolled Dice,N/A,NaN
2,27,9,16,1,8,purchase,images/13.png,0
1,4,2,7,0,N/A,Player 1 Turn End,N/A,0
2,28,13,16,1,8,Rolled Dice,N/A,NaN
2,28,1,16,2,N/A,purchase,images/21.png,0
2,28,1,16,2,8,skip,Bought Landmark: Radio Tower,0
2,29,7,16,2,6,Rolled Dice,N/A,NaN
2,29,5,17,2,6,purchase,images/11.png,0
1,4,2,7,0,6,Rolled Dice,N/A,0
1,4,1,8,0,N/A,purchase,images/3.png,0
1,4,1,8,0,N/A,Player 1 Turn End,N/A,0
2,30,10,17,2,10,Rolled Dice,N/A,NaN
2,30,7,18,2,10,purchase,images/17.png,0
1,4,4,8,0,N/A,Player 1 Turn End,N/A,0
2,31,7,18,2,1,Rolled Dice,N/A,0
2,31,6,19,2,1,purchase,images/12.png,0
1,4,4,8,0,3,Rolled Dice,N/A,0
1,4,0,9,0,N/A,purchase,images/15.png,0
1,4,0,9,0,N/A,Player 1 Turn End,N/A,0
2,32,8,19,2,4,Rolled Dice,N/A,4
2,32,5,20,2,4,purchase,images/6.png,0
1,4,0,9,0,N/A,Player 1 Turn End,N/A,0
2,33,11,20,2,7,Rolled Dice,N/A,12
2,33,9,21,2,7,purchase,images/11.png,0
1,4,3,9,0,4,Rolled Dice,N/A,8
1,4,2,10,0,N/A,purchase,images/3.png,0
1,4,2,10,0,N/A,Player 1 Turn End,N/A,0
2,34,20,21,2,7,Rolled Dice,N/A,18
2,34,20,21,2,7,purchase,images/23.png,0
1,4,2,10,0,N/A,Player 1 Turn End,N/A,0
2,35,30,21,2,11,Rolled Dice,N/A,NaN
2,35,8,21,3,N/A,purchase,images/23.png,0
2,35,8,21,3,N/A,WIN,Won by purchasing French Restaurant,0
1,1,5,0,0,N/A,Player 1 Turn End,N/A,0
2,1,5,0,0,N/A,Buying Only Turn,N/A,0
2,1,4,1,0,N/A,purchase,images/7.png,0
2,2,4,1,0,11,purchase,images/23.png,0
1,2,4,1,0,N/A,purchase,images/14.png,0
1,2,4,1,0,N/A,Player 1 Turn End,N/A,0
2,3,4,1,0,N/A,Buying Only Turn,N/A,0
2,3,1,2,0,N/A,purchase,images/20.png,0
1,3,2,2,0,N/A,purchase,images/11.png,0
1,3,2,2,0,N/A,Player 1 Turn End,N/A,0
2,4,3,2,0,3,Rolled Dice,N/A,4
2,4,2,3,0,3,purchase,images/14.png,0
1,4,5,2,0,7,Rolled Dice,N/A,6
1,4,4,3,0,N/A,purchase,images/2.png,0
1,4,4,3,0,N/A,Player 1 Turn End,N/A,0
2,5,2,3,0,1,Rolled Dice,N/A,0
2,5,2,3,0,1,purchase,images/2.png,0
1,4,4,3,0,5,Rolled Dice,N/A,0
1,4,0,4,0,N/A,purchase,images/15.png,0
1,4,0,4,0,N/A,Player 1 Turn End,N/A,0
2,6,5,3,0,10,Rolled Dice,N/A,9
2,6,4,4,0,10,purchase,images/14.png,0
1,4,3,4,0,N/A,Player 1 Turn End,N/A,0
2,7,10,4,0,9,Rolled Dice,N/A,NaN
2,7,9,5,0,9,purchase,images/2.png,0
1,4,3,4,0,6,Rolled Dice,N/A,0
1,4,1,5,0,N/A,purchase,images/16.png,0
1,4,1,5,0,N/A,Player 1 Turn End,N/A,0
2,8,9,5,0,7,Rolled Dice,N/A,3
2,8,8,6,0,7,purchase,images/3.png,0
1,4,4,5,0,N/A,Player 1 Turn End,N/A,0
2,9,8,6,0,11,Rolled Dice,N/A,6
2,9,7,7,0,11,purchase,images/5.png,0
1,4,10,5,0,6,Rolled Dice,N/A,0
1,4,9,6,0,N/A,purchase,images/1.png,0
1,4,9,6,0,N/A,Player 1 Turn End,N/A,0
2,10,7,7,0,1,Rolled Dice,N/A,1
2,10,5,8,0,1,purchase,images/8.png,0
1,4,10,6,0,N/A,Player 1 Turn End,N/A,0
2,11,11,8,0,10,Rolled Dice,N/A,15
2,11,8,9,0,10,purchase,images/10.png,0
1,4,13,6,0,8,Rolled Dice,N/A,0
1,4,12,7,0,N/A,purchase,images/7.png,0
1,4,12,7,0,N/A,Player 1 Turn End,N/A,0
2,12,8,9,0,1,Rolled Dice,N/A,1
2,12,6,10,0,1,purchase,images/16.png,0
1,4,13,7,0,N/A,Player 1 Turn End,N/A,0
2,13,6,10,0,7,Rolled Dice,N/A,3
2,13,3,11,0,7,purchase,images/10.png,0
1,4,21,7,0,2,Rolled Dice,N/A,12
1,4,20,8,0,N/A,purchase,images/14.png,0
1,4,20,8,0,N/A,Player 1 Turn End,N/A,0
2,14,7,11,0,3,Rolled Dice,N/A,4
2,14,4,12,0,3,purchase,images/17.png,0
1,4,20,8,0,N/A,Player 1 Turn End,N/A,0
2,15,4,12,0,5,Rolled Dice,N/A,0
2,15,2,13,0,5,purchase,images/16.png,0
1,4,20,8,0,8,Rolled Dice,N/A,0
1,4,18,9,0,N/A,purchase,images/8.png,0
1,4,18,9,0,N/A,Player 1 Turn End,N/A,0
2,16,2,13,0,1,Rolled Dice,N/A,1
2,16,0,14,0,1,purchase,images/11.png,0
1,4,19,9,0,N/A,Player 1 Turn End,N/A,0
2,17,4,14,0,2,Rolled Dice,N/A,11
2,17,3,15,0,2,purchase,images/9.png,0
1,4,22,9,0,5,Rolled Dice,N/A,0
1,4,10,9,1,N/A,purchase,images/25.png,0
1,4,10,9,1,N/A,Player 1 Turn End,N/A,0
2,18,6,15,0,4,Rolled Dice,N/A,6
2,18,2,16,0,4,purchase,images/18.png,0
1,4,10,9,1,N/A,Player 1 Turn End,N/A,0
2,19,2,16,0,5,Rolled Dice,N/A,0
2,19,0,17,0,5,purchase,images/4.png,0
1,4,15,9,1,2,Rolled Dice,N/A,12
1,4,14,10,1,N/A,purchase,images/1.png,0
1,4,14,10,1,N/A,Player 1 Turn End,N/A,0
2,20,2,17,0,5,Rolled Dice,N/A,0
2,20,1,18,0,5,purchase,images/7.png,0
1,4,14,10,1,N/A,Player 1 Turn End,N/A,0
2,21,4,18,0,6,Rolled Dice,N/A,NaN
2,21,2,19,0,6,purchase,images/4.png,0
1,4,16,10,1,1,Rolled Dice,N/A,4
1,4,10,11,1,N/A,purchase,images/19.png,0
1,4,10,11,1,N/A,Player 1 Turn End,N/A,0
2,22,8,19,0,7,Rolled Dice,N/A,9
2,22,5,20,0,7,purchase,images/6.png,0
1,4,13,11,1,N/A,Player 1 Turn End,N/A,0
2,23,7,20,0,5,Rolled Dice,N/A,4
2,23,6,21,0,5,purchase,images/3.png,0
1,4,19,11,1,2,Rolled Dice,N/A,14
1,4,3,11,2,N/A,purchase,images/24.png,0
1,4,3,11,2,N/A,Player 1 Turn End,N/A,0
2,24,26,21,0,10,Rolled Dice,N/A,NaN
2,24,14,21,1,N/A,purchase,images/21.png,0
2,24,14,21,1,10,skip,Bought Landmark: Radio Tower,0
1,4,9,11,2,9,Rolled Dice,N/A,0
1,4,6,12,2,N/A,purchase,images/20.png,0
1,4,6,12,2,N/A,Player 1 Turn End,N/A,0
2,25,21,21,1,4,Rolled Dice,N/A,14
2,25,20,22,1,4,purchase,images/5.png,0
1,4,6,12,2,N/A,Player 1 Turn End,N/A,0
2,26,29,22,1,9,Rolled Dice,N/A,NaN
2,26,25,23,1,9,purchase,images/15.png,0
1,4,12,12,2,7,Rolled Dice,N/A,12
1,4,10,13,2,N/A,purchase,images/4.png,0
1,4,10,13,2,N/A,Player 1 Turn End,N/A,0
2,27,31,23,1,6,Rolled Dice,N/A,NaN
2,27,31,23,1,6,purchase,images/4.png,0
1,4,10,13,2,5,Rolled Dice,N/A,2
1,4,9,14,2,N/A,purchase,images/5.png,0
1,4,9,14,2,N/A,Player 1 Turn End,N/A,0
2,28,35,23,1,5,Rolled Dice,N/A,4
2,28,32,24,1,5,purchase,images/19.png,0
1,4,9,14,2,N/A,Player 1 Turn End,N/A,0
2,29,36,24,1,3,Rolled Dice,N/A,8
2,29,34,25,1,3,purchase,images/4.png,0
1,4,15,14,2,7,Rolled Dice,N/A,12
1,4,15,14,2,N/A,Player 1 Turn End,N/A,0
2,30,46,25,1,4,Rolled Dice,N/A,26
2,30,43,26,1,4,purchase,images/17.png,0
1,4,23,14,2,12,Rolled Dice,N/A,18
1,4,1,14,3,N/A,purchase,images/23.png,0
1,4,1,14,3,N/A,WIN,Won by purchasing French Restaurant,0
1,1,5,0,0,N/A,Player 1 Turn End,N/A,0
2,1,5,0,0,N/A,Buying Only Turn,N/A,0
2,1,4,1,0,N/A,purchase,images/3.png,0
1,2,5,0,0,N/A,Player 1 Turn End,N/A,0
2,2,4,1,0,N/A,Buying Only Turn,N/A,0
2,2,3,2,0,N/A,purchase,images/7.png,0
1,3,2,1,0,N/A,purchase,images/17.png,0
1,3,2,1,0,N/A,Player 1 Turn End,N/A,0
2,3,3,2,0,N/A,Buying Only Turn,N/A,0
2,3,1,3,0,N/A,purchase,images/8.png,0
1,4,2,1,0,6,Rolled Dice,N/A,0
1,4,0,2,0,N/A,purchase,images/4.png,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,4,1,3,0,7,Rolled Dice,N/A,0
2,4,0,4,0,7,purchase,images/1.png,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,5,0,4,0,11,Rolled Dice,N/A,0
2,5,0,4,0,11,skip,N/A,0
2,6,0,4,0,7,Rolled Dice,N/A,0
2,6,0,4,0,7,skip,N/A,0
2,7,0,4,0,9,Rolled Dice,N/A,0
2,7,0,4,0,9,skip,N/A,0
2,8,0,4,0,10,Rolled Dice,N/A,0
2,8,0,4,0,10,skip,N/A,0
2,9,0,4,0,6,Rolled Dice,N/A,0
2,9,0,4,0,6,skip,N/A,0
2,10,0,4,0,11,Rolled Dice,N/A,0
2,10,0,4,0,11,skip,N/A,0
2,11,2,4,0,3,Rolled Dice,N/A,4
2,11,1,5,0,3,purchase,images/5.png,0
1,4,0,2,0,11,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,12,1,5,0,10,Rolled Dice,N/A,0
2,12,0,6,0,10,purchase,images/3.png,0
1,4,0,2,0,7,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,13,2,6,0,3,Rolled Dice,N/A,4
2,13,1,7,0,3,purchase,images/2.png,0
1,4,0,2,0,6,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,14,1,7,0,6,Rolled Dice,N/A,0
2,14,0,8,0,6,purchase,images/2.png,0
1,4,0,2,0,2,Rolled Dice,N/A,5
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,15,5,8,0,8,Rolled Dice,N/A,0
2,15,2,9,0,8,purchase,images/20.png,0
1,4,0,2,0,5,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,16,2,9,0,7,Rolled Dice,N/A,0
2,16,1,10,0,7,purchase,images/2.png,0
1,4,0,2,0,3,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,17,1,10,0,7,Rolled Dice,N/A,0
2,17,0,11,0,7,purchase,images/7.png,0
1,4,0,2,0,9,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,18,0,11,0,6,Rolled Dice,N/A,0
2,18,0,11,0,6,skip,N/A,0
2,19,0,11,0,5,Rolled Dice,N/A,0
2,19,0,11,0,5,skip,N/A,0
2,20,1,11,0,1,Rolled Dice,N/A,2
2,20,0,12,0,1,purchase,images/14.png,0
1,4,2,2,0,4,Rolled Dice,N/A,4
1,4,0,3,0,N/A,purchase,images/4.png,0
1,4,0,3,0,N/A,Player 1 Turn End,N/A,0
2,21,0,12,0,6,Rolled Dice,N/A,0
2,21,0,12,0,6,skip,N/A,0
1,4,0,3,0,1,Rolled Dice,N/A,1
1,4,0,3,0,N/A,Player 1 Turn End,N/A,0
2,22,1,12,0,5,Rolled Dice,N/A,0
2,22,0,13,0,5,purchase,images/1.png,0
1,4,0,3,0,1,Rolled Dice,N/A,2
1,4,0,3,0,N/A,Player 1 Turn End,N/A,0
2,23,14,13,0,2,Rolled Dice,N/A,24
2,23,2,13,1,N/A,purchase,images/25.png,0
2,23,2,13,1,2,skip,Bought Landmark: Amusement Park,0
2,24,6,13,1,3,Rolled Dice,N/A,8
2,24,4,14,1,3,purchase,images/11.png,0
1,4,0,3,0,6,Rolled Dice,N/A,0
1,4,0,3,0,N/A,Player 1 Turn End,N/A,0
2,25,7,14,1,4,Rolled Dice,N/A,10
2,25,5,15,1,4,purchase,images/16.png,0
1,4,4,3,0,6,Rolled Dice,N/A,0
1,4,1,4,0,N/A,purchase,images/19.png,0
1,4,1,4,0,N/A,Player 1 Turn End,N/A,0
2,26,5,15,1,5,Rolled Dice,N/A,0
2,26,2,16,1,5,purchase,images/10.png,0
1,4,1,4,0,N/A,Player 1 Turn End,N/A,0
2,27,14,16,1,9,Rolled Dice,N/A,NaN
2,27,13,17,1,9,purchase,images/3.png,0
1,4,1,4,0,1,Rolled Dice,N/A,2
1,4,0,4,0,N/A,Player 1 Turn End,N/A,0
2,28,16,17,1,6,Rolled Dice,N/A,0
2,28,0,17,2,N/A,purchase,images/24.png,0
